matchup,agent_name,opponent_name,evaluation_function,search_depth,games,wins,losses,win_rate,average_game_length,average_decision_time_seconds,average_expanded_nodes,average_pruned_branches
"Expectimax[balanced,d=2]_vs_Random",Random,Expectimax,none,0,400,14,386,0.035,4.665,1.796533206721679e-05,0.0,0.0
"AlphaBeta[balanced,d=2]_vs_Minimax[balanced,d=2]",AlphaBeta,Minimax,balanced,2,400,192,208,0.48,5.185,0.0050552478211139,275.70861568247824,886.053242981607
"AlphaBeta[balanced,d=2]_vs_Minimax[balanced,d=2]",Minimax,AlphaBeta,balanced,2,400,208,192,0.52,5.185,0.0200088525512573,1145.375600384246,0.0
"AlphaBeta[balanced,d=2]_vs_Expectimax[balanced,d=2]",AlphaBeta,Expectimax,balanced,2,400,244,156,0.61,5.425,0.0048775957133191,255.81391147244807,834.0
"AlphaBeta[balanced,d=2]_vs_Expectimax[balanced,d=2]",Expectimax,AlphaBeta,balanced,2,400,156,244,0.39,5.425,0.0224211863168714,1213.5061147695203,0.0
"Minimax[balanced,d=3]_vs_Random",Minimax,Random,balanced,3,400,393,7,0.9825,5.2725,0.3789848437330295,21314.26151172893,0.0
"Minimax[balanced,d=3]_vs_Random",Random,Minimax,none,0,400,7,393,0.0175,5.2725,1.9289183747295548e-05,0.0,0.0
"AlphaBeta[balanced,d=3]_vs_Random",AlphaBeta,Random,balanced,3,400,394,6,0.985,5.185,0.0468009439310571,2512.494708994709,3951.928571428571
"AlphaBeta[balanced,d=3]_vs_Random",Random,AlphaBeta,none,0,400,6,394,0.015,5.185,1.8556608863056025e-05,0.0,0.0
"Expectimax[balanced,d=3]_vs_Random",Expectimax,Random,balanced,3,400,398,2,0.995,4.875,0.4294086705009432,24038.745810055865,0.0
"Expectimax[balanced,d=3]_vs_Random",Random,Expectimax,none,0,400,2,398,0.005,4.875,2.045645437003475e-05,0.0,0.0
"AlphaBeta[balanced,d=3]_vs_Minimax[balanced,d=3]",AlphaBeta,Minimax,balanced,3,400,206,194,0.515,5.125,0.0529099680617649,2869.0943579766536,4484.5972762645915
"AlphaBeta[balanced,d=3]_vs_Minimax[balanced,d=3]",Minimax,AlphaBeta,balanced,3,400,194,206,0.485,5.125,0.4393916597509886,24617.89432485323,0.0
"AlphaBeta[balanced,d=3]_vs_Expectimax[balanced,d=3]",AlphaBeta,Expectimax,balanced,3,400,204,196,0.51,5.01,0.0533463587312851,2933.061752988048,4897.052788844621
