matchup,agent_name,opponent_name,evaluation_function,search_depth,games,wins,losses,win_rate,average_game_length,average_decision_time_seconds,average_expanded_nodes,average_pruned_branches
"Minimax[balanced,d=3]_vs_Expectimax[balanced,d=3]",Minimax,Expectimax,balanced,3,400,199,201,0.4975,4.9975,0.4450459348777117,24750.242242242242,0
"Minimax[balanced,d=3]_vs_Expectimax[balanced,d=3]",Expectimax,Minimax,balanced,3,400,201,199,0.5025,4.9975,0.4576408251514658,25487.867,0
"Minimax[balanced,d=3]_vs_Stratagem",Minimax,Stratagem,balanced,3,400,268,132,0.67,4.69,0.45961184848069764,25479.76851851852,0
"Minimax[balanced,d=3]_vs_Stratagem",Stratagem,Minimax,none,0,400,132,268,0.33,4.69,0.46717550768826027,0,0
"AlphaBeta[balanced,d=3]_vs_Stratagem",AlphaBeta,Stratagem,balanced,3,400,261,139,0.6525,4.7425,0.05349641942680244,2872.5331971399387,4972.555669050051
"AlphaBeta[balanced,d=3]_vs_Stratagem",Stratagem,AlphaBeta,none,0,400,139,261,0.3475,4.7425,0.4494979450247587,0,0
"Expectimax[balanced,d=3]_vs_Stratagem",Expectimax,Stratagem,balanced,3,400,243,157,0.6075,4.2225,0.5019080120809086,27550.25519630485,0
"Expectimax[balanced,d=3]_vs_Stratagem",Stratagem,Expectimax,none,0,400,157,243,0.3925,4.2225,0.4879138687303582,0,0
